2020-06-29T21:07:30.398Z, 1593464850398, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:07:36.496Z, 1593464856496, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:36.647Z, 1593464856647, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:36.801Z, 1593464856801, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:07:36.969Z, 1593464856969, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:07:37.127Z, 1593464857127, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:07:37.271Z, 1593464857271, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:37.434Z, 1593464857434, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:07:37.590Z, 1593464857590, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:07:37.741Z, 1593464857741, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:07:37.911Z, 1593464857911, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:07:38.123Z, 1593464858123, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:38.263Z, 1593464858263, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:07:38.376Z, 1593464858376, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:07:38.543Z, 1593464858543, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:38.698Z, 1593464858698, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:07:39.009Z, 1593464859009, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:07:39.168Z, 1593464859168, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:39.320Z, 1593464859320, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:07:39.479Z, 1593464859479, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:07:39.654Z, 1593464859654, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:39.801Z, 1593464859801, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:40.126Z, 1593464860126, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:07:40.274Z, 1593464860274, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:40.435Z, 1593464860435, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:40.585Z, 1593464860585, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:07:40.750Z, 1593464860750, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:07:40.897Z, 1593464860897, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:07:41.054Z, 1593464861054, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:07:41.281Z, 1593464861281, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:07:41.506Z, 1593464861506, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:07:41.843Z, 1593464861843, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:07:42.093Z, 1593464862093, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:42.190Z, 1593464862190, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:07:42.470Z, 1593464862470, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:42.652Z, 1593464862652, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:42.866Z, 1593464862866, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:07:43.282Z, 1593464863282, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:07:43.442Z, 1593464863442, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:43.537Z, 1593464863537, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:07:43.775Z, 1593464863775, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:07:43.887Z, 1593464863887, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:44.076Z, 1593464864076, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:07:44.200Z, 1593464864200, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:07:44.381Z, 1593464864381, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:44.930Z, 1593464864930, ea:39:da:f1:99:98, pr-3fe7, -65
2020-06-29T21:07:44.983Z, 1593464864983, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:45.148Z, 1593464865148, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:07:45.321Z, 1593464865321, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:07:45.467Z, 1593464865467, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:07:45.614Z, 1593464865614, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:45.805Z, 1593464865805, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:46.090Z, 1593464866090, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:07:46.248Z, 1593464866248, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:46.404Z, 1593464866404, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:46.558Z, 1593464866558, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:07:46.875Z, 1593464866875, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:07:47.029Z, 1593464867029, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:47.183Z, 1593464867183, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:47.331Z, 1593464867331, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:07:47.497Z, 1593464867497, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:07:47.652Z, 1593464867652, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:07:47.809Z, 1593464867809, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:07:48.047Z, 1593464868047, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:48.140Z, 1593464868140, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:07:48.441Z, 1593464868441, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:07:48.582Z, 1593464868582, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:07:48.754Z, 1593464868754, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:48.909Z, 1593464868909, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:07:49.074Z, 1593464869074, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:07:49.233Z, 1593464869233, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:49.375Z, 1593464869375, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:49.535Z, 1593464869535, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:07:49.838Z, 1593464869838, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:07:50.012Z, 1593464870012, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:07:50.183Z, 1593464870183, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:07:50.471Z, 1593464870471, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:50.629Z, 1593464870629, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:07:50.786Z, 1593464870786, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:07:50.943Z, 1593464870943, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:07:51.105Z, 1593464871105, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:51.417Z, 1593464871417, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:07:51.578Z, 1593464871578, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:51.736Z, 1593464871736, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:51.887Z, 1593464871887, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:07:52.211Z, 1593464872211, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:07:52.362Z, 1593464872362, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:07:52.561Z, 1593464872561, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:07:52.680Z, 1593464872680, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:07:52.844Z, 1593464872844, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:07:52.998Z, 1593464872998, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:53.149Z, 1593464873149, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:53.306Z, 1593464873306, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:07:53.475Z, 1593464873475, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:07:53.634Z, 1593464873634, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:53.784Z, 1593464873784, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:54.096Z, 1593464874096, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:07:54.258Z, 1593464874258, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:54.581Z, 1593464874581, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:07:54.747Z, 1593464874747, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:54.901Z, 1593464874901, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:07:55.221Z, 1593464875221, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:55.694Z, 1593464875694, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:07:55.857Z, 1593464875857, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:56.019Z, 1593464876019, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:07:56.319Z, 1593464876319, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:56.482Z, 1593464876482, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:07:56.787Z, 1593464876787, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:07:56.956Z, 1593464876956, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:57.116Z, 1593464877116, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:57.268Z, 1593464877268, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:07:57.427Z, 1593464877427, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:07:57.731Z, 1593464877731, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:07:57.884Z, 1593464877884, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:58.212Z, 1593464878212, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:07:58.363Z, 1593464878363, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:07:58.537Z, 1593464878537, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:58.698Z, 1593464878698, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:07:58.838Z, 1593464878838, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:07:58.999Z, 1593464878999, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:07:59.159Z, 1593464879159, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:59.315Z, 1593464879315, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:07:59.630Z, 1593464879630, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:07:59.792Z, 1593464879792, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:08:00.248Z, 1593464880248, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:08:00.411Z, 1593464880411, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:08:00.561Z, 1593464880561, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:08:00.722Z, 1593464880722, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:08:00.880Z, 1593464880880, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:08:01.044Z, 1593464881044, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:08:01.205Z, 1593464881205, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:08:01.571Z, 1593464881571, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:08:01.666Z, 1593464881666, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:08:01.832Z, 1593464881832, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:08:02.300Z, 1593464882300, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:08:02.462Z, 1593464882462, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:08:02.615Z, 1593464882615, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:08:02.767Z, 1593464882767, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:08:02.940Z, 1593464882940, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:08:03.077Z, 1593464883077, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:08:03.235Z, 1593464883235, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:08:03.394Z, 1593464883394, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:08:03.550Z, 1593464883550, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:08:03.708Z, 1593464883708, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:08:03.870Z, 1593464883870, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:08:04.177Z, 1593464884177, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:08:04.337Z, 1593464884337, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:08:04.491Z, 1593464884491, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:08:04.820Z, 1593464884820, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:08:04.959Z, 1593464884959, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:08:05.124Z, 1593464885124, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:08:05.297Z, 1593464885297, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:08:05.444Z, 1593464885444, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:08:05.604Z, 1593464885604, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:08:05.752Z, 1593464885752, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:08:05.917Z, 1593464885917, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:08:06.064Z, 1593464886064, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:08:06.233Z, 1593464886233, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:08:06.378Z, 1593464886378, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:08:06.564Z, 1593464886564, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:08:06.733Z, 1593464886733, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:08:07.086Z, 1593464887086, ea:39:da:f1:99:98, pr-3fe7, -59
2020-06-29T21:08:07.332Z, 1593464887332, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:08:07.501Z, 1593464887501, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:08:07.644Z, 1593464887644, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:08:07.955Z, 1593464887955, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:08:08.108Z, 1593464888108, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:08:08.280Z, 1593464888280, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:08:08.430Z, 1593464888430, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:08:08.593Z, 1593464888593, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:08:08.903Z, 1593464888903, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:08:09.052Z, 1593464889052, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:08:09.372Z, 1593464889372, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:08:09.533Z, 1593464889533, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:08:09.691Z, 1593464889691, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:08:09.845Z, 1593464889845, ea:39:da:f1:99:98, pr-3fe7, -65
2020-06-29T21:08:10.161Z, 1593464890161, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:08:10.319Z, 1593464890319, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:08:10.472Z, 1593464890472, ea:39:da:f1:99:98, pr-3fe7, -65
2020-06-29T21:08:10.629Z, 1593464890629, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:08:10.794Z, 1593464890794, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:08:10.945Z, 1593464890945, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:08:11.254Z, 1593464891254, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:08:11.432Z, 1593464891432, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:08:11.573Z, 1593464891573, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:08:11.734Z, 1593464891734, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:08:11.891Z, 1593464891891, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:08:12.048Z, 1593464892048, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:08:12.204Z, 1593464892204, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:08:12.369Z, 1593464892369, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:08:12.680Z, 1593464892680, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:08:12.990Z, 1593464892990, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:08:13.169Z, 1593464893169, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:08:13.306Z, 1593464893306, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:08:13.647Z, 1593464893647, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:08:13.789Z, 1593464893789, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:08:13.946Z, 1593464893946, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:08:14.101Z, 1593464894101, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:08:14.256Z, 1593464894256, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:08:14.406Z, 1593464894406, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:08:14.565Z, 1593464894565, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:08:14.738Z, 1593464894738, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:08:14.884Z, 1593464894884, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:08:15.038Z, 1593464895038, ea:39:da:f1:99:98, pr-3fe7, -65
2020-06-29T21:08:15.357Z, 1593464895357, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:08:15.510Z, 1593464895510, ea:39:da:f1:99:98, pr-3fe7, -65
2020-06-29T21:08:15.673Z, 1593464895673, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:08:16.149Z, 1593464896149, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:08:16.308Z, 1593464896308, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:08:16.475Z, 1593464896475, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:08:16.948Z, 1593464896948, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:08:17.098Z, 1593464897098, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:08:17.268Z, 1593464897268, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:08:17.414Z, 1593464897414, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:08:17.569Z, 1593464897569, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:08:17.729Z, 1593464897729, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:08:17.885Z, 1593464897885, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:08:18.045Z, 1593464898045, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:08:18.209Z, 1593464898209, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:08:18.365Z, 1593464898365, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:08:18.523Z, 1593464898523, ea:39:da:f1:99:98, pr-3fe7, -65
2020-06-29T21:08:18.677Z, 1593464898677, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:08:18.839Z, 1593464898839, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:08:19.146Z, 1593464899146, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:08:19.319Z, 1593464899319, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:08:19.630Z, 1593464899630, ea:39:da:f1:99:98, pr-3fe7, -65
2020-06-29T21:08:19.796Z, 1593464899796, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:08:19.950Z, 1593464899950, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:08:20.188Z, 1593464900188, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:08:20.579Z, 1593464900579, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:08:20.691Z, 1593464900691, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:08:20.907Z, 1593464900907, ea:39:da:f1:99:98, pr-3fe7, -65
2020-06-29T21:08:21.044Z, 1593464901044, ea:39:da:f1:99:98, pr-3fe7, -65
2020-06-29T21:08:21.255Z, 1593464901255, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:08:21.376Z, 1593464901376, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:08:21.533Z, 1593464901533, ea:39:da:f1:99:98, pr-3fe7, -65
2020-06-29T21:08:21.682Z, 1593464901682, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:08:21.840Z, 1593464901840, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:08:21.995Z, 1593464901995, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:08:22.287Z, 1593464902287, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:08:22.445Z, 1593464902445, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:08:22.613Z, 1593464902613, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:08:22.927Z, 1593464902927, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:08:23.135Z, 1593464903135, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:08:23.266Z, 1593464903266, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:08:23.559Z, 1593464903559, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:08:23.715Z, 1593464903715, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:08:23.869Z, 1593464903869, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:08:24.044Z, 1593464904044, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:08:24.208Z, 1593464904208, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:08:24.378Z, 1593464904378, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:08:24.677Z, 1593464904677, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:08:24.991Z, 1593464904991, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:08:25.112Z, 1593464905112, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:08:25.270Z, 1593464905270, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:08:25.431Z, 1593464905431, ea:39:da:f1:99:98, pr-3fe7, -66
