2020-06-29T21:03:56.234Z, 1593464636234, ea:39:da:f1:99:98, undefined, -87
2020-06-29T21:04:33.993Z, 1593464673993, ea:39:da:f1:99:98, pr-3fe7, -84
2020-06-29T21:04:34.783Z, 1593464674783, ea:39:da:f1:99:98, pr-3fe7, -84
2020-06-29T21:04:35.255Z, 1593464675255, ea:39:da:f1:99:98, pr-3fe7, -85
2020-06-29T21:04:38.103Z, 1593464678103, ea:39:da:f1:99:98, pr-3fe7, -86
2020-06-29T21:04:39.669Z, 1593464679669, ea:39:da:f1:99:98, pr-3fe7, -86
2020-06-29T21:04:40.594Z, 1593464680594, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T21:04:40.749Z, 1593464680749, ea:39:da:f1:99:98, pr-3fe7, -81
2020-06-29T21:04:41.394Z, 1593464681394, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T21:04:41.548Z, 1593464681548, ea:39:da:f1:99:98, pr-3fe7, -81
2020-06-29T21:04:42.009Z, 1593464682009, ea:39:da:f1:99:98, pr-3fe7, -87
2020-06-29T21:04:42.532Z, 1593464682532, ea:39:da:f1:99:98, pr-3fe7, -84
2020-06-29T21:04:42.802Z, 1593464682802, ea:39:da:f1:99:98, pr-3fe7, -84
2020-06-29T21:04:43.284Z, 1593464683284, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T21:04:43.449Z, 1593464683449, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T21:04:43.754Z, 1593464683754, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T21:04:43.910Z, 1593464683910, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T21:04:44.068Z, 1593464684068, ea:39:da:f1:99:98, pr-3fe7, -74
2020-06-29T21:04:44.223Z, 1593464684223, ea:39:da:f1:99:98, pr-3fe7, -76
2020-06-29T21:04:44.539Z, 1593464684539, ea:39:da:f1:99:98, pr-3fe7, -78
2020-06-29T21:04:44.696Z, 1593464684696, ea:39:da:f1:99:98, pr-3fe7, -72
2020-06-29T21:04:45.011Z, 1593464685011, ea:39:da:f1:99:98, pr-3fe7, -75
2020-06-29T21:04:45.178Z, 1593464685178, ea:39:da:f1:99:98, pr-3fe7, -73
2020-06-29T21:04:45.813Z, 1593464685813, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T21:04:46.125Z, 1593464686125, ea:39:da:f1:99:98, pr-3fe7, -78
2020-06-29T21:04:46.156Z, 1593464686156, ea:39:da:f1:99:98, pr-3fe7, -74
2020-06-29T21:04:46.452Z, 1593464686452, ea:39:da:f1:99:98, pr-3fe7, -75
2020-06-29T21:04:46.605Z, 1593464686605, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T21:04:46.765Z, 1593464686765, ea:39:da:f1:99:98, pr-3fe7, -76
2020-06-29T21:04:46.924Z, 1593464686924, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T21:04:47.076Z, 1593464687076, ea:39:da:f1:99:98, pr-3fe7, -85
2020-06-29T21:04:47.238Z, 1593464687238, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T21:04:47.436Z, 1593464687436, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T21:04:47.575Z, 1593464687575, ea:39:da:f1:99:98, pr-3fe7, -82
2020-06-29T21:04:47.710Z, 1593464687710, ea:39:da:f1:99:98, pr-3fe7, -78
2020-06-29T21:04:47.871Z, 1593464687871, ea:39:da:f1:99:98, pr-3fe7, -82
2020-06-29T21:04:48.339Z, 1593464688339, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T21:04:48.499Z, 1593464688499, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T21:04:48.656Z, 1593464688656, ea:39:da:f1:99:98, pr-3fe7, -82
2020-06-29T21:04:48.810Z, 1593464688810, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T21:04:49.120Z, 1593464689120, ea:39:da:f1:99:98, pr-3fe7, -73
2020-06-29T21:04:49.430Z, 1593464689430, ea:39:da:f1:99:98, pr-3fe7, -72
2020-06-29T21:04:49.599Z, 1593464689599, ea:39:da:f1:99:98, pr-3fe7, -76
2020-06-29T21:04:49.761Z, 1593464689761, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T21:04:49.916Z, 1593464689916, ea:39:da:f1:99:98, pr-3fe7, -76
2020-06-29T21:04:50.227Z, 1593464690227, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T21:04:50.535Z, 1593464690535, ea:39:da:f1:99:98, pr-3fe7, -78
2020-06-29T21:04:50.693Z, 1593464690693, ea:39:da:f1:99:98, pr-3fe7, -74
2020-06-29T21:04:50.851Z, 1593464690851, ea:39:da:f1:99:98, pr-3fe7, -79
2020-06-29T21:04:51.017Z, 1593464691017, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T21:04:51.176Z, 1593464691176, ea:39:da:f1:99:98, pr-3fe7, -81
2020-06-29T21:04:51.633Z, 1593464691633, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T21:04:51.824Z, 1593464691824, ea:39:da:f1:99:98, pr-3fe7, -79
2020-06-29T21:04:51.949Z, 1593464691949, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T21:04:52.114Z, 1593464692114, ea:39:da:f1:99:98, pr-3fe7, -81
2020-06-29T21:04:52.580Z, 1593464692580, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T21:04:52.734Z, 1593464692734, ea:39:da:f1:99:98, pr-3fe7, -78
2020-06-29T21:04:53.043Z, 1593464693043, ea:39:da:f1:99:98, pr-3fe7, -78
2020-06-29T21:04:53.207Z, 1593464693207, ea:39:da:f1:99:98, pr-3fe7, -76
2020-06-29T21:04:53.362Z, 1593464693362, ea:39:da:f1:99:98, pr-3fe7, -82
2020-06-29T21:04:53.401Z, 1593464693401, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T21:04:54.457Z, 1593464694457, ea:39:da:f1:99:98, pr-3fe7, -81
2020-06-29T21:04:55.596Z, 1593464695596, ea:39:da:f1:99:98, pr-3fe7, -81
2020-06-29T21:04:55.659Z, 1593464695659, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T21:04:56.200Z, 1593464696200, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T21:04:56.666Z, 1593464696666, ea:39:da:f1:99:98, pr-3fe7, -84
2020-06-29T21:04:57.147Z, 1593464697147, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T21:04:57.302Z, 1593464697302, ea:39:da:f1:99:98, pr-3fe7, -81
2020-06-29T21:04:57.446Z, 1593464697446, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T21:04:58.240Z, 1593464698240, ea:39:da:f1:99:98, pr-3fe7, -84
2020-06-29T21:04:58.396Z, 1593464698396, ea:39:da:f1:99:98, pr-3fe7, -82
2020-06-29T21:04:58.565Z, 1593464698565, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T21:04:58.715Z, 1593464698715, ea:39:da:f1:99:98, pr-3fe7, -83
2020-06-29T21:04:59.028Z, 1593464699028, ea:39:da:f1:99:98, pr-3fe7, -80
